"","sample","fastq_1","fastq_2","strandedness","ID","sf","Driver","Host","CDKN2AB","PTEN","Type","Clone","Replicate","OriginalOrder","Random_Sample_No","LibraryBatch","SeqBatch","SeqBatchSample","Adapter","QuickID","ID2"
"31","TK031","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_31_S3_R1_001.fastq.gz",NA,"auto","TK_31","TK_31_S3_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.5",1,31,63,6,6,"S3",8,"TK63","TK_031_S3"
"32","TK032","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_32_S9_R1_001.fastq.gz",NA,"auto","TK_32","TK_32_S9_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.5",2,32,33,3,3,"S9",22,"TK33","TK_032_S9"
"33","TK033","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_33_S11_R1_001.fastq.gz",NA,"auto","TK_33","TK_33_S11_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.4.5",3,33,47,4,4,"S11",25,"TK47","TK_033_S11"
"34","TK034","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_34_S5_R1_001.fastq.gz",NA,"auto","TK_34","TK_34_S5_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.5.1",1,34,113,10,10,"S5",10,"TK113","TK_034_S5"
"35","TK035","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_35_S12_R1_001.fastq.gz",NA,"auto","TK_35","TK_35_S12_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.5.1",2,35,96,8,8,"S12",27,"TK96","TK_035_S12"
"36","TK036","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_36_S10_R1_001.fastq.gz",NA,"auto","TK_36","TK_36_S10_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS1","16.5.1",3,36,10,1,1,"S10",23,"TK10","TK_036_S10"
"37","TK037","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_37_S2_R1_001.fastq.gz",NA,"auto","TK_37","TK_37_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.1",1,37,62,6,6,"S2",3,"TK62","TK_037_S2"
"38","TK038","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_38_S1_R1_001.fastq.gz",NA,"auto","TK_38","TK_38_S1_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.1",2,38,97,9,9,"S1",1,"TK97","TK_038_S1"
"39","TK039","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_39_S8_R1_001.fastq.gz",NA,"auto","TK_39","TK_39_S8_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.1",3,39,92,8,8,"S8",21,"TK92","TK_039_S8"
"40","TK040","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_40_S2_R1_001.fastq.gz",NA,"auto","TK_40","TK_40_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.4",1,40,50,5,5,"S2",3,"TK50","TK_040_S2"
"41","TK041","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_41_S5_R1_001.fastq.gz",NA,"auto","TK_41","TK_41_S5_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.4",2,41,89,8,8,"S5",10,"TK89","TK_041_S5"
"42","TK042","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_42_S8_R1_001.fastq.gz",NA,"auto","TK_42","TK_42_S8_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.4",3,42,56,5,5,"S8",21,"TK56","TK_042_S8"
"43","TK043","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_43_S2_R1_001.fastq.gz",NA,"auto","TK_43","TK_43_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.5",1,43,38,4,4,"S2",3,"TK38","TK_043_S2"
"44","TK044","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_44_S2_R1_001.fastq.gz",NA,"auto","TK_44","TK_44_S2_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.5",2,44,2,1,1,"S2",3,"TK02","TK_044_S2"
"45","TK045","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_45_S5_R1_001.fastq.gz",NA,"auto","TK_45","TK_45_S5_R1_001.sf","EGFRvV","BL6","Hom_del","Hom_del","NS1","16.6.5",3,45,29,3,3,"S5",10,"TK29","TK_045_S5"
"46","TK046","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_46_S1_R1_001.fastq.gz",NA,"auto","TK_46","TK_46_S1_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.9.5",1,46,109,10,10,"S1",1,"TK109","TK_046_S1"
"47","TK047","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_47_S9_R1_001.fastq.gz",NA,"auto","TK_47","TK_47_S9_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.9.5",2,47,69,6,6,"S9",22,"TK69","TK_047_S9"
"48","TK048","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_48_S3_R1_001.fastq.gz",NA,"auto","TK_48","TK_48_S3_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.9.5",3,48,15,2,2,"S3",8,"TK15","TK_048_S3"
"49","TK049","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_49_S6_R1_001.fastq.gz",NA,"auto","TK_49","TK_49_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.1",1,49,30,3,3,"S6",11,"TK30","TK_049_S6"
