ID,sf,Driver,Host,CDKN2AB,PTEN,Type,Clone,Replicate,OriginalOrder,Random_Sample_No,LibraryBatch,SeqBatch,SeqBatchSample,Adapter,QuickID
TK_85,TK_85_S7_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.2,1,85,80,7,7,S7,21,TK80
TK_86,TK_86_S8_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.2,2,86,116,10,10,S8,21,TK116
TK_87,TK_87_S5_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.2,3,87,101,9,9,S5,10,TK101
TK_88,TK_88_S12_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.2,1,88,48,4,4,S12,27,TK48
TK_89,TK_89_S8_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.2,2,89,19,2,2,S8,21,TK20
TK_90,TK_90_S9_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,Tumor,31.3.3,3,90,45,4,4,S9,22,TK45
TK_91,TK_91_S1_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.3,1,91,13,2,2,S1,1,TK13
TK_92,TK_92_S10_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.3,2,92,34,3,3,S10,23,TK34
TK_93,TK_93_S10_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,NS2,31.3.3,3,93,58,5,5,S10,23,TK58
TK_94,TK_94_S5_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.3,1,94,17,2,2,S5,10,TK17
TK_95,TK_95_S10_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.3,2,95,94,8,8,S10,23,TK94
TK_96,TK_96_S4_R1_001.sf,EGFRvIII,BL6,Hom_del,Hom_del,GBO,31.3.3,3,96,88,8,8,S4,9,TK88
TK_97,TK_97_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,Tumor,31.4.1,1,97,98,9,9,S2,3,TK98
TK_98,TK_98_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.1,2,98,110,10,10,S2,3,TK110
TK_99,TK_99_S6_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.1,3,99,79,7,7,S6,20,TK79
TK_100,TK_100_S11_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.1,1,100,107,9,9,S11,25,TK107
TK_101,TK_101_S7_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.1,2,101,91,8,8,S7,20,TK91
TK_102,TK_102_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.1,3,102,86,8,8,S2,3,TK86
TK_103,TK_103_S9_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.1,1,103,117,10,10,S9,22,TK117
TK_104,TK_104_S1_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,Tumor,31.4.2,2,104,1,1,1,S1,1,TK01
