sample,fastq_1,fastq_2,strandedness,id
TK_080_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_80_S10_R1_001.fastq.gz,,auto,TK080
TK_081_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_81_S11_R1_001.fastq.gz,,auto,TK081
TK_082_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_82_S7_R1_001.fastq.gz,,auto,TK082
TK_083_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_83_S1_R1_001.fastq.gz,,auto,TK083
TK_084_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_84_S5_R1_001.fastq.gz,,auto,TK084
TK_085_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_85_S7_R1_001.fastq.gz,,auto,TK085
TK_086_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_86_S8_R1_001.fastq.gz,,auto,TK086
TK_087_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_87_S5_R1_001.fastq.gz,,auto,TK087
TK_088_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_88_S12_R1_001.fastq.gz,,auto,TK088
TK_089_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_89_S8_R1_001.fastq.gz,,auto,TK089
TK_090_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_90_S9_R1_001.fastq.gz,,auto,TK090
TK_091_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_91_S1_R1_001.fastq.gz,,auto,TK091
TK_092_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_92_S10_R1_001.fastq.gz,,auto,TK092
TK_093_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_93_S10_R1_001.fastq.gz,,auto,TK093
TK_094_S5,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_94_S5_R1_001.fastq.gz,,auto,TK094
TK_095_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_95_S10_R1_001.fastq.gz,,auto,TK095
TK_096_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_96_S4_R1_001.fastq.gz,,auto,TK096
TK_097_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_97_S2_R1_001.fastq.gz,,auto,TK097
TK_098_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_98_S2_R1_001.fastq.gz,,auto,TK098
TK_099_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_99_S6_R1_001.fastq.gz,,auto,TK099
TK_100_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_100_S11_R1_001.fastq.gz,,auto,TK100
TK_101_S7,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_101_S7_R1_001.fastq.gz,,auto,TK101
TK_102_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_102_S2_R1_001.fastq.gz,,auto,TK102
TK_103_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_103_S9_R1_001.fastq.gz,,auto,TK103
TK_104_S1,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_104_S1_R1_001.fastq.gz,,auto,TK104
TK_105_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_105_S3_R1_001.fastq.gz,,auto,TK105
TK_106_S9,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_106_S9_R1_001.fastq.gz,,auto,TK106
TK_107_S3,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_107_S3_R1_001.fastq.gz,,auto,TK107
TK_108_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_108_S12_R1_001.fastq.gz,,auto,TK108
TK_109_S4,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_109_S4_R1_001.fastq.gz,,auto,TK109
TK_110_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_110_S2_R1_001.fastq.gz,,auto,TK110
TK_111_S11,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_111_S11_R1_001.fastq.gz,,auto,TK111
TK_112_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_112_S12_R1_001.fastq.gz,,auto,TK112
TK_113_S10,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_113_S10_R1_001.fastq.gz,,auto,TK113
TK_114_S12,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_114_S12_R1_001.fastq.gz,,auto,TK114
TK_115_S6,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_115_S6_R1_001.fastq.gz,,auto,TK115
TK_116_S8,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_116_S8_R1_001.fastq.gz,,auto,TK116
TK_117_S2,/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_117_S2_R1_001.fastq.gz,,auto,TK117
